,SYMBOL,NAME OF COMPANY,isactve,FUT,IDX
309,CORPBANK,Corporation Bank,True,False,False
310,COSMOFILMS,Cosmo Films Limited,True,False,False
311,COUNCODOS,Country Condo's Limited,True,False,False
312,COX&KINGS,Cox & Kings Limited,True,False,False
313,CREATIVEYE,Creative Eye Limited,True,False,False
314,CREST,Crest Ventures Limited,True,False,False
315,CRISIL,CRISIL Limited,True,False,False
316,CROMPTON,Crompton Greaves Consumer Electricals Limited,True,False,False
317,CTE,Cambridge Technology Enterprises Limited,True,False,False
318,CUB,City Union Bank Limited,True,False,False
319,CUBEXTUB,Cubex Tubings Limited,True,False,False
320,CUMMINSIND,Cummins India Limited,True,False,False
321,CUPID,Cupid Limited,True,False,False
322,CURATECH,Cura Technologies Limited,True,False,False
323,CYBERMEDIA,Cyber Media (India) Limited,True,False,False
324,CYBERTECH,Cybertech Systems And Software Limited,True,False,False
325,CYIENT,Cyient Limited,True,False,False
326,DAAWAT,LT Foods Limited,True,False,False
327,DABUR,Dabur India Limited,True,False,False
328,DALMIABHA,Dalmia Bharat Limited,True,False,False
329,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,True,False,False
330,DAMODARIND,Damodar Industries Limited,True,False,False
331,DATAMATICS,Datamatics Global Services Limited,True,False,False
332,DBCORP,D.B.Corp Limited,True,False,False
333,DBL,Dilip Buildcon Limited,True,False,False
334,DBREALTY,D B Realty Limited,True,False,False
335,DBSTOCKBRO,DB (International) Stock Brokers Limited,True,False,False
336,DCAL,Dishman Carbogen Amcis Limited,True,False,False
337,DCBBANK,DCB Bank Limited,True,False,False
338,DCM,DCM  Limited,True,False,False
339,DCMFINSERV,DCM Financial Services Limited,True,False,False
340,DCMSHRIRAM,DCM Shriram Limited,True,False,False
341,DCW,DCW Limited,True,False,False
342,DECCANCE,Deccan Cements Limited,True,False,False
343,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,True,False,False
344,DEEPAKNTR,Deepak Nitrite Limited,True,False,False
345,DEEPIND,Deep Industries Limited,True,False,False
346,DELTACORP,Delta Corp Limited,True,False,False
347,DELTAMAGNT,Delta Magnets Limited,True,False,False
348,DEN,Den Networks Limited,True,False,False
349,DENABANK,Dena Bank,True,False,False
350,DENORA,De Nora India Limited,True,False,False
351,DFMFOODS,DFM Foods Limited,True,False,False
352,DHAMPURSUG,Dhampur Sugar Mills Limited,True,False,False
