,SYMBOL,NAME,INDFLAG,FO_FLAG
250,CANBK,Canara Bank,0,0
251,CANDC,C & C Constructions Limited,0,0
252,CANFINHOME,Can Fin Homes Limited,0,0
253,CANTABIL,Cantabil Retail India Limited,0,0
254,CAPACITE,Capacit'e Infraprojects Limited,0,0
255,CAPF,Capital First Limited,0,0
256,CAPLIPOINT,Caplin Point Laboratories Limited,0,0
257,CAPTRUST,Capital Trust Limited,0,0
258,CARBORUNIV,Carborundum Universal Limited,0,0
259,CAREERP,Career Point Limited,0,0
260,CARERATING,CARE Ratings Limited,0,0
261,CASTEXTECH,Castex Technologies Limited,0,0
262,CASTROLIND,Castrol India Limited,0,0
263,CCCL,Consolidated Construction Consortium Limited,0,0
264,CCHHL,Country Club Hospitality & Holidays Limited,0,0
265,CCL,CCL Products (India) Limited,0,0
266,CDSL,Central Depository Services (India) Limited,0,0
267,CEATLTD,CEAT Limited,0,0
268,CEBBCO,Commercial Engineers & Body Builders Co Limited,0,0
269,CELEBRITY,Celebrity Fashions Limited,0,0
270,CELESTIAL,Celestial Biolabs Limited,0,0
271,CENTENKA,Century Enka Limited,0,0
272,CENTEXT,Century Extrusions Limited,0,0
273,CENTRALBK,Central Bank of India,0,0
274,CENTRUM,Centrum Capital Limited,0,0
275,CENTUM,Centum Electronics Limited,0,0
276,CENTURYPLY,Century Plyboards (India) Limited,0,0
277,CENTURYTEX,Century Textiles & Industries Limited,0,0
278,CERA,Cera Sanitaryware Limited,0,0
279,CEREBRAINT,Cerebra Integrated Technologies Limited,0,0
280,CESC,CESC Limited,0,0
281,CGCL,Capri Global Capital Limited,0,0
282,CGPOWER,CG Power and Industrial Solutions Limited,0,0
283,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,0,0
284,CHEMFAB,Chemfab Alkalis Limited,0,0
285,CHENNPETRO,Chennai Petroleum Corporation Limited,0,0
286,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,0,0
287,CHROMATIC,Chromatic India Limited,0,0
288,CIGNITITEC,Cigniti Technologies Limited,0,0
289,CIMMCO,Cimmco Limited,0,0
290,CINELINE,Cineline India Limited,0,0
291,CINEVISTA,Cinevista Limited,0,0
292,CIPLA,Cipla Limited,0,0
293,CLEDUCATE,CL Educate Limited,0,0
294,CLNINDIA,Clariant Chemicals (India) Limited,0,0
295,CMICABLES,CMI Limited,0,0
296,CNOVAPETRO,CIL Nova Petrochemicals Limited,0,0
297,COALINDIA,Coal India Limited,0,0
298,COCHINSHIP,Cochin Shipyard Limited,0,0
299,COFFEEDAY,Coffee Day Enterprises Limited,0,0
300,COLPAL,Colgate Palmolive (India) Limited,0,0
301,COMPINFO,Compuage Infocom Limited,0,0
302,COMPUSOFT,Compucom Software Limited,0,0
303,CONCOR,Container Corporation of India Limited,0,0
304,CONSOFINVT,Consolidated Finvest & Holdings Limited,0,0
305,CONTROLPR,Control Print Limited,0,0
306,CORALFINAC,Coral India Finance & Housing Limited,0,0
307,CORDSCABLE,Cords Cable Industries Limited,0,0
308,COROMANDEL,Coromandel International Limited,0,0
309,CORPBANK,Corporation Bank,0,0
310,COSMOFILMS,Cosmo Films Limited,0,0
311,COUNCODOS,Country Condo's Limited,0,0
312,COX&KINGS,Cox & Kings Limited,0,0
313,CREATIVEYE,Creative Eye Limited,0,0
314,CREST,Crest Ventures Limited,0,0
315,CRISIL,CRISIL Limited,0,0
316,CROMPTON,Crompton Greaves Consumer Electricals Limited,0,0
317,CTE,Cambridge Technology Enterprises Limited,0,0
318,CUB,City Union Bank Limited,0,0
319,CUBEXTUB,Cubex Tubings Limited,0,0
320,CUMMINSIND,Cummins India Limited,0,0
321,CUPID,Cupid Limited,0,0
322,CURATECH,Cura Technologies Limited,0,0
323,CYBERMEDIA,Cyber Media (India) Limited,0,0
324,CYBERTECH,Cybertech Systems And Software Limited,0,0
325,CYIENT,Cyient Limited,0,0
326,DAAWAT,LT Foods Limited,0,0
327,DABUR,Dabur India Limited,0,0
328,DALMIABHA,Dalmia Bharat Limited,0,0
329,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,0,0
330,DAMODARIND,Damodar Industries Limited,0,0
331,DATAMATICS,Datamatics Global Services Limited,0,0
332,DBCORP,D.B.Corp Limited,0,0
333,DBL,Dilip Buildcon Limited,0,0
334,DBREALTY,D B Realty Limited,0,0
335,DBSTOCKBRO,DB (International) Stock Brokers Limited,0,0
336,DCAL,Dishman Carbogen Amcis Limited,0,0
337,DCBBANK,DCB Bank Limited,0,0
338,DCM,DCM  Limited,0,0
339,DCMFINSERV,DCM Financial Services Limited,0,0
340,DCMSHRIRAM,DCM Shriram Limited,0,0
341,DCW,DCW Limited,0,0
342,DECCANCE,Deccan Cements Limited,0,0
343,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,0,0
344,DEEPAKNTR,Deepak Nitrite Limited,0,0
345,DEEPIND,Deep Industries Limited,0,0
346,DELTACORP,Delta Corp Limited,0,0
347,DELTAMAGNT,Delta Magnets Limited,0,0
348,DEN,Den Networks Limited,0,0
349,DENABANK,Dena Bank,0,0
350,DENORA,De Nora India Limited,0,0
351,DFMFOODS,DFM Foods Limited,0,0
352,DHAMPURSUG,Dhampur Sugar Mills Limited,0,0
353,DHANBANK,Dhanlaxmi Bank Limited,0,0
354,DHANUKA,Dhanuka Agritech Limited,0,0
355,DHARSUGAR,Dharani Sugars & Chemicals Limited,0,0
356,DHFL,Dewan Housing Finance Corporation Limited,0,0
357,DHUNINV,Dhunseri Investments Limited,0,0
358,DIAMONDYD,Prataap Snacks Limited,0,0
359,DIAPOWER,Diamond Power Infra Ltd,0,0
360,DICIND,DIC India Limited,0,0
361,DIGJAMLTD,Digjam Limited,0,0
362,DISHTV,Dish TV India Limited,0,0
363,DIVISLAB,Divi's Laboratories Limited,0,0
364,DIXON,Dixon Technologies (India) Limited,0,0
365,DLF,DLF Limited,0,0
366,DLINKINDIA,D-Link (India) Limited,0,0
367,DMART,Avenue Supermarts Limited,0,0
368,DNAMEDIA,Diligent Media Corporation Limited,0,0
369,DOLLAR,Dollar Industries Limited,0,0
370,DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited,0,0
371,DONEAR,Donear Industries Limited,0,0
372,DPL,Dhunseri Petrochem Limited,0,0
373,DPSCLTD,DPSC Limited,0,0
374,DQE,DQ Entertainment (International) Limited,0,0
375,DREDGECORP,Dredging Corporation of India Limited,0,0
376,DRREDDY,Dr. Reddy's Laboratories Limited,0,0
377,DSSL,Dynacons Systems & Solutions Limited,0,0
378,DTIL,Dhunseri Tea & Industries Limited,0,0
379,DUCON,Ducon Infratechnologies Limited,0,0
380,DWARKESH,Dwarikesh Sugar Industries Limited,0,0
381,DYNAMATECH,Dynamatic Technologies Limited,0,0
382,DYNPRO,Dynemic Products Limited,0,0
383,EASTSILK,Eastern Silk Industries Limited,0,0
384,EASUNREYRL,Easun Reyrolle Limited,0,0
385,ECEIND,ECE Industries Limited,0,0
386,ECLERX,eClerx Services Limited,0,0
387,EDELWEISS,Edelweiss Financial Services Limited,0,0
388,EDL,Empee Distilleries Limited,0,0
389,EDUCOMP,Educomp Solutions Limited,0,0
390,EICHERMOT,Eicher Motors Limited,0,0
391,EIDPARRY,EID Parry India Limited,0,0
392,EIHAHOTELS,EIH Associated Hotels Limited,0,0
393,EIHOTEL,EIH Limited,0,0
394,EIMCOELECO,Eimco Elecon (India) Limited,0,0
395,EKC,Everest Kanto Cylinder Limited,0,0
396,ELAND,E-Land Apparel Limited,0,0
397,ELECON,Elecon Engineering Company Limited,0,0
398,ELECTCAST,Electrosteel Castings Limited,0,0
399,ELECTHERM,Electrotherm (India) Limited,0,0
400,ELECTROSL,ELECTROSTEEL STEELS LIMITED,0,0
401,ELGIEQUIP,Elgi Equipments Limited,0,0
402,ELGIRUBCO,Elgi Rubber Company Limited,0,0
403,EMAMIINFRA,Emami Infrastructure Limited,0,0
404,EMAMILTD,Emami Limited,0,0
405,EMCO,Emco Limited,0,0
406,EMKAY,Emkay Global Financial Services Limited,0,0
407,EMMBI,Emmbi Industries Limited,0,0
408,ENDURANCE,Endurance Technologies Limited,0,0
409,ENERGYDEV,Energy Development Company Limited,0,0
410,ENGINERSIN,Engineers India Limited,0,0
411,ENIL,Entertainment Network (India) Limited,0,0
412,EON,Eon Electric Limited,0,0
413,EQUITAS,Equitas Holdings Limited,0,0
414,ERIS,Eris Lifesciences Limited,0,0
415,EROSMEDIA,Eros International Media Limited,0,0
416,ESABINDIA,Esab India Limited,0,0
417,ESCORTS,Escorts Limited,0,0
418,ESSARSHPNG,Essar Shipping Limited,0,0
419,ESSDEE,Ess Dee Aluminium Limited,0,0
420,ESSELPACK,Essel Propack Limited,0,0
421,ESTER,Ester Industries Limited,0,0
422,EUROCERA,Euro Ceramics Limited,0,0
423,EUROMULTI,Euro Multivision Limited,0,0
424,EUROTEXIND,Eurotex Industries and Exports Limited,0,0
425,EVEREADY,Eveready Industries India Limited,0,0
426,EVERESTIND,Everest Industries Limited,0,0
427,EXCEL,Excel Realty N Infra Limited,0,0
428,EXCELCROP,Excel Crop Care Limited,0,0
429,EXCELINDUS,Excel Industries Limited,0,0
430,EXIDEIND,Exide Industries Limited,0,0
431,FACT,Fertilizers and Chemicals Travancore Limited,0,0
432,FAIRCHEM,Fairchem Speciality Limited,0,0
433,FCL,Fineotex Chemical Limited,0,0
434,FCONSUMER,Future Consumer Limited,0,0
435,FCSSOFT,FCS Software Solutions Limited,0,0
436,FDC,FDC Limited,0,0
437,FEDDERELEC,Fedders Electric and Engineering Limited,0,0
438,FEDERALBNK,The Federal Bank  Limited,0,0
439,FEL,Future Enterprises Limited,0,0
440,FELDVR,Future Enterprises Limited,0,0
441,FIEMIND,Fiem Industries Limited,0,0
442,FILATEX,Filatex India Limited,0,0
443,FINCABLES,Finolex Cables Limited,0,0
444,FINEORG,Fine Organic Industries Limited,0,0
445,FINPIPE,Finolex Industries Limited,0,0
446,FIRSTWIN,First Winner Industries Limited,0,0
447,FLEXITUFF,Flexituff International Limited,0,0
448,FLFL,Future Lifestyle Fashions Limited,0,0
449,FMGOETZE,Federal-Mogul Goetze (India) Limited.,0,0
450,FMNL,Future Market Networks Limited,0,0
451,FORTIS,Fortis Healthcare Limited,0,0
452,FOSECOIND,Foseco India Limited,0,0
453,FRETAIL,Future Retail Limited,0,0
454,FSC,Future Supply Chain Solutions Limited,0,0
455,FSL,Firstsource Solutions Limited,0,0
456,GABRIEL,Gabriel India Limited,0,0
457,GAEL,Gujarat Ambuja Exports Limited,0,0
458,GAIL,GAIL (India) Limited,0,0
459,GAL,Gyscoal Alloys Limited,0,0
460,GALAXYSURF,Galaxy Surfactants Limited,0,0
461,GALLANTT,Gallantt Metal Limited,0,0
462,GALLISPAT,Gallantt Ispat Limited,0,0
